numQuestion,image,audio,paragraph,question,option1,option2,option3,option4,correctAnswer
164,,,"<p>W: Look at all the robotics we are using on the manufacturing assembly line. They are all automatically operated.<br>
M: I can see. It&rsquo;s really impressive. You know, factories rarely use such high-quality devices these days.<br>
W: Yes. So I need to find the right system to handle all the equipment we&rsquo;ve installed. The system we&rsquo;re currently using needs to be upgraded. How much would it cost to do business with your company?</p>",When was Ms. County?s check-out date?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,C
165,,,,When was Ms. County?s check-out date?,A room charge,A telephone fee ,A room service charge,A dinner at the hotel restaurant,C
166,,,,When was Ms. County?s check-out date?,3.Dec,5.Dec,7.Dec,9.Dec,A
167,,,,When was Ms. County?s check-out date?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,D
168,,,"<p>W: Look at all the robotics we are using on the manufacturing assembly line. They are all automatically operated.<br>
M: I can see. It&rsquo;s really impressive. You know, factories rarely use such high-quality devices these days.<br>
W: Yes. So I need to find the right system to handle all the equipment we&rsquo;ve installed. The system we&rsquo;re currently using needs to be upgraded. How much would it cost to do business with your company?</p>",When was Ms. County?s check-out date?,A room charge,A telephone fee ,A room service charge,A dinner at the hotel restaurant,B
169,,,,When was Ms. County?s check-out date?,3.Dec,5.Dec,7.Dec,9.Dec,D
170,,,,When was Ms. County?s check-out date?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,C
171,,,,When was Ms. County?s check-out date?,A room charge,A telephone fee ,A room service charge,A dinner at the hotel restaurant,C
172,,,"<p>W: Look at all the robotics we are using on the manufacturing assembly line. They are all automatically operated.<br>
M: I can see. It&rsquo;s really impressive. You know, factories rarely use such high-quality devices these days.<br>
W: Yes. So I need to find the right system to handle all the equipment we&rsquo;ve installed. The system we&rsquo;re currently using needs to be upgraded. How much would it cost to do business with your company?</p>",When was Ms. County?s check-out date?,3.Dec,5.Dec,7.Dec,9.Dec,C
173,,,,When was Ms. County?s check-out date?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,A
174,,,,When was Ms. County?s check-out date?,A room charge,A telephone fee ,A room service charge,A dinner at the hotel restaurant,D
175,,,,When was Ms. County?s check-out date?,3.Dec,5.Dec,7.Dec,9.Dec,B
176,,,"<p>W: Look at all the robotics we are using on the manufacturing assembly line. They are all automatically operated.<br>
M: I can see. It&rsquo;s really impressive. You know, factories rarely use such high-quality devices these days.<br>
W: Yes. So I need to find the right system to handle all the equipment we&rsquo;ve installed. The system we&rsquo;re currently using needs to be upgraded. How much would it cost to do business with your company?</p>",When was Ms. County?s check-out date?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,D
177,,,,When was Ms. County?s check-out date?,A room charge,A telephone fee ,A room service charge,A dinner at the hotel restaurant,C
178,,,,When was Ms. County?s check-out date?,3.Dec,5.Dec,7.Dec,9.Dec,C
179,,,,When was Ms. County?s check-out date?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,C
180,,,,When was Ms. County?s check-out date?,A room charge,A telephone fee ,A room service charge,A dinner at the hotel restaurant,A
181,,,"<p>W: Look at all the robotics we are using on the manufacturing assembly line. They are all automatically operated.<br>
M: I can see. It&rsquo;s really impressive. You know, factories rarely use such high-quality devices these days.<br>
W: Yes. So I need to find the right system to handle all the equipment we&rsquo;ve installed. The system we&rsquo;re currently using needs to be upgraded. How much would it cost to do business with your company?</p>",When was Ms. County?s check-out date?,3.Dec,5.Dec,7.Dec,9.Dec,D
182,,,,When was Ms. County?s check-out date?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,B
183,,,,When was Ms. County?s check-out date?,A room charge,A telephone fee ,A room service charge,A dinner at the hotel restaurant,D
184,,,,When was Ms. County?s check-out date?,3.Dec,5.Dec,7.Dec,9.Dec,C
185,,,,When was Ms. County?s check-out date?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,C
186,,,"<p>W: Look at all the robotics we are using on the manufacturing assembly line. They are all automatically operated.<br>
M: I can see. It&rsquo;s really impressive. You know, factories rarely use such high-quality devices these days.<br>
W: Yes. So I need to find the right system to handle all the equipment we&rsquo;ve installed. The system we&rsquo;re currently using needs to be upgraded. How much would it cost to do business with your company?</p>",When was Ms. County?s check-out date?,A room charge,A telephone fee ,A room service charge,A dinner at the hotel restaurant,C
187,,,,When was Ms. County?s check-out date?,3.Dec,5.Dec,7.Dec,9.Dec,A
188,,,,When was Ms. County?s check-out date?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,D
189,,,,When was Ms. County?s check-out date?,A room charge,A telephone fee ,A room service charge,A dinner at the hotel restaurant,B
190,,,,When was Ms. County?s check-out date?,3.Dec,5.Dec,7.Dec,9.Dec,D
191,,,"<p>W: Look at all the robotics we are using on the manufacturing assembly line. They are all automatically operated.<br>
M: I can see. It&rsquo;s really impressive. You know, factories rarely use such high-quality devices these days.<br>
W: Yes. So I need to find the right system to handle all the equipment we&rsquo;ve installed. The system we&rsquo;re currently using needs to be upgraded. How much would it cost to do business with your company?</p>",When was Ms. County?s check-out date?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,C
192,,,,When was Ms. County?s check-out date?,A room charge,A telephone fee ,A room service charge,A dinner at the hotel restaurant,C
193,,,,When was Ms. County?s check-out date?,3.Dec,5.Dec,7.Dec,9.Dec,C
194,,,,When was Ms. County?s check-out date?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,A
195,,,,When was Ms. County?s check-out date?,A room charge,A telephone fee ,A room service charge,A dinner at the hotel restaurant,D
196,,,"<p>W: Look at all the robotics we are using on the manufacturing assembly line. They are all automatically operated.<br>
M: I can see. It&rsquo;s really impressive. You know, factories rarely use such high-quality devices these days.<br>
W: Yes. So I need to find the right system to handle all the equipment we&rsquo;ve installed. The system we&rsquo;re currently using needs to be upgraded. How much would it cost to do business with your company?</p>",When was Ms. County?s check-out date?,3.Dec,5.Dec,7.Dec,9.Dec,B
197,,,,When was Ms. County?s check-out date?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,D
198,,,,When was Ms. County?s check-out date?,A room charge,A telephone fee ,A room service charge,A dinner at the hotel restaurant,C
199,,,,When was Ms. County?s check-out date?,3.Dec,5.Dec,7.Dec,9.Dec,C
200,,,,When was Ms. County?s check-out date?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,C
